,previous_cycle_count_IVF,previous_cycle_count_DI,total_previous_pregnancy_count,total_previous_live_birth_count,infertility_tubal_disease,infertility_ovulation_disorder,infertility_male_factor,infertility_patient_unexplained,infertility_endometriosis,stimulation_used,donated_embryo,PGD_treatment,PGS_treatment,single_embro_transfer,fresh_cycle,frozen_cycle,eggs_thawed,fresh_eggs_collected,fresh_eggs_stored,total_eggs_mixed,total_embryos_created,total_embryos_thawed,embryos_transferred,embryos_transferred_eggs_micro_injected,embryos_stored_fore_use_by_patient,days_to_embryo_transfer,year_of_treatment,live_birth_occurance,number_of_live_births,foetal_sacs_fetal_pulsation_count,heart_one_delivery_date,heart_one_congenital_abnormalities,heart_two_delivery_date,heart_two_congenital_abnormalities,heart_three_delivery_date,heart_three_congenital_abnormalities
count,1531725.0,1531725.0,1531725.0,1531725.0,1531725.0,1531725.0,1531725.0,1531725.0,1531725.0,1531725.0,1531725.0,1531725.0,1531725.0,1531725.0,1531725.0,1531725.0,1291174.0,1531725.0,1531725.0,1531725.0,1531725.0,1531725.0,1531725.0,1206466.0,1531725.0,1531725.0,1531725.0,1531725.0,1531725.0,1531725.0,307225.0,1531725.0,59844.0,1029.0,2644.0,68.0
mean,1.0965519267492534,0.5578370791101536,0.1724003982438101,0.11672591359415038,0.16846235453491978,0.10992834875712024,0.4964755422807619,0.25092428471168127,0.055510617114690956,0.6930212668723171,0.005633517765917511,0.004561523772217598,0.0038029019569439685,0.10634415446636962,0.6577322952879923,0.17832574385088706,0.013959388897236158,6.02616853547471,0.03787102776281643,5.496133444319313,3.590616461832248,0.4564598736718406,1.2886405849613998,0.5916005921426712,0.8828849826176369,1.479309275490052,2006.4523129151773,0.2038962607517668,0.242002970507108,0.2806228272046222,1966.4384539018636,0.003057990174476489,1982.7008889780095,1.0,1986.0499243570348,1.0
std,1.5106120819688054,1.5103872432354681,0.438053781400622,0.3416961275597294,0.37427647681472315,0.3128005287307677,0.49998774124837675,0.433545165771878,0.22897428399723155,0.46124064155405964,0.07484507265402758,0.06738485911140243,0.06155032385809946,0.3082776951403622,0.4744688293196348,0.3827868448547962,0.3660233033407187,6.991707418542789,0.6629166840679205,6.316509837506553,4.467137140007626,1.3040819794362108,1.0041113512646236,0.8947493676744197,2.321757792377396,1.7959567543280786,8.083928572747586,0.40289289094968894,0.5123744911015242,0.5529362103990891,202.12331334406804,0.055214498646344035,154.78409263766176,0.0,125.63805133493823,0.0
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991.0,0.0,0.0,0.0,999.0,0.0,999.0,1.0,999.0,1.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.0,0.0,0.0,0.0,2002.0,0.0,2001.0,1.0,1996.0,1.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,2008.0,0.0,0.0,0.0,2010.0,0.0,2008.0,1.0,2000.0,1.0
75%,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,9.0,6.0,0.0,2.0,1.0,0.0,3.0,2014.0,0.0,0.0,0.0,2015.0,0.0,2013.0,1.0,2008.0,1.0
max,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,55.0,51.0,55.0,55.0,55.0,4.0,4.0,48.0,7.0,2018.0,1.0,4.0,40.0,2019.0,1.0,2019.0,1.0,2019.0,1.0
