,previous_cycle_count_IVF,previous_cycle_count_DI,total_previous_pregnancy_count,total_previous_live_birth_count,infertility_tubal_disease,infertility_ovulation_disorder,infertility_male_factor,infertility_patient_unexplained,infertility_endometriosis,stimulation_used,donated_embryo,PGD_treatment,PGS_treatment,single_embro_transfer,fresh_cycle,frozen_cycle,eggs_thawed,fresh_eggs_collected,fresh_eggs_stored,total_eggs_mixed,total_embryos_created,total_embryos_thawed,embryos_transferred,embryos_transferred_eggs_micro_injected,embryos_stored_fore_use_by_patient,days_to_embryo_transfer,year_of_treatment,live_birth_occurance,number_of_live_births,foetal_sacs_fetal_pulsation_count,heart_one_delivery_date,heart_one_congenital_abnormalities,heart_two_delivery_date,heart_two_congenital_abnormalities,heart_three_delivery_date,heart_three_congenital_abnormalities
donated_embryo,0.0445309623944799,0.017033549092248256,0.007972163951632211,0.0022661709295203987,-0.02390385007448583,0.012337627899777635,-0.024949365701442978,-0.029037295228383962,-0.01059049103076181,-0.1056040009408771,1.0,-0.004447998685763456,0.0008764935172470253,0.029295707575429965,-0.024847789575556268,0.06278511220833721,0.02530909037352941,-0.057054696123710016,-0.004299964593215891,-0.012292055244372468,-0.008817105638711954,0.03973983995846715,0.024491693983527334,-0.01905278352934843,-0.0006364876385857,0.007780971417682099,0.021048643064318827,0.016791627772226713,0.015470923384693571,0.01674570885741343,-0.01027448060642354,-0.00195696563493736,-0.010435615972343742,,0.008583484992048867,
PGD_treatment,0.02702956776879569,-0.023513367408808293,0.006556381415927037,0.006221929155556727,-0.026016613698692643,-0.014528700021369842,-0.049662109252639586,-0.028676085125012157,-0.013618446863424366,-0.02226858615973146,-0.004447998685763456,1.0,-0.0041824685881378335,0.051069465097010734,-0.016490454749245577,0.04943230406171024,-0.0022074341537022374,0.006129239686400958,-0.003604125119488347,0.001732495934351131,0.006431402720963723,0.03206306295938316,-0.015918004334581907,0.021044726124592076,-0.011812362241092951,0.015304908462107645,0.04990837883246267,0.015303187875694154,0.010459071660760681,0.009869902486536807,-0.01624886357161584,-0.00094160563048402,0.0025585334628887724,,0.011659865206951293,
PGS_treatment,0.06518563580826464,-0.019350208144429344,0.023384838463542168,0.007824794146884986,-0.01610530963355777,-0.0007233793276237641,-0.028172024610644168,0.019826042188567816,-0.007150019409381574,-0.01600208250029544,0.0008764935172470253,-0.0041824685881378335,1.0,0.031776439948407245,-0.009976982563494672,0.03882831549889343,0.00033742002272539845,0.007706065513843465,-0.0035296627538961844,0.006082234072258168,0.012303500557976802,0.04145808238857303,-0.016736062742598427,0.006566667621463623,-0.007802082088132167,0.011256970024899539,0.05277430598885577,0.009064460460321807,0.006300140791302126,0.006721149258144736,-0.002894994580789878,-0.001116659711708351,-0.00670439291452026,,0.010231967926457653,
single_embro_transfer,-0.027719319802071738,-0.10805265521496268,0.015077294748264799,0.024930735762187285,-0.0359631164789919,0.038068022575872607,-0.08525857875358661,0.028775830819308484,0.009506731262945331,-0.008192221044712426,0.029295707575429965,0.051069465097010734,0.031776439948407245,1.0,0.049057607532351014,0.08693483748358638,0.008311210152993265,0.10026277442406495,-0.01897540738352351,0.115533771708374,0.13161656502128335,0.050625405653600755,-0.09905912134423976,-0.03297202872432498,0.1047844465776902,0.35873166412254603,0.3528442871781955,0.13737759137400088,0.08586434330712991,0.0853267737535568,-0.12886556981629776,-0.010820616220627195,-0.03701353204373639,,-0.02276021207506711,
fresh_cycle,-0.08440140396128382,-0.40289843840179707,-0.17786386470065152,-0.1708346280903823,0.11925805225473973,0.06022553050155987,-0.14219641614273174,0.16039534710523884,0.07461766121069792,0.7535366617677723,-0.024847789575556268,-0.016490454749245577,-0.009976982563494672,0.049057607532351014,1.0,-0.6422208787883973,0.0200801338760364,0.6209561966829737,0.041067164607403624,0.62690016604944,0.5792760116468353,-0.4813221605440958,0.33738265704260406,0.12916410525318578,0.266381807923004,0.5196994536038134,0.1481320779152641,0.07923256100453592,0.08913016479782827,0.09541467835118983,0.04514978816598403,0.015729438497705885,0.06659222954267098,,0.0967958838225413,
frozen_cycle,0.3538359075093171,-0.1303896773958553,0.20461471448977028,0.19967989853473522,0.0431228171960279,0.06301177980175406,-0.07733223319602689,0.03653073937259062,0.007586396088718801,-0.6756117558234751,0.06278511220833721,0.04943230406171024,0.03882831549889343,0.08693483748358638,-0.6422208787883973,1.0,-0.019501056324084554,-0.3991181777463504,-0.026436190613573475,-0.40300142908139464,-0.37282555585173055,0.747316408896684,0.13460226112398277,-0.12888848323466942,-0.16688547240058596,-0.2901261885579107,0.15226372055076123,0.01688026381204658,0.005984529771278641,0.008022825356293832,-0.0659765713648869,-0.005012661922006994,-0.07160635913904498,,-0.06213466424793511,
eggs_thawed,0.01745247271962461,-0.0015715264574034536,-0.0019363242116036635,-0.0033043343813552615,-0.013147029346026406,-0.008054544771418974,-0.014370027920425478,-0.0035007256580341112,-0.005517030827139712,-0.056757006110105174,0.02530909037352941,-0.0022074341537022374,0.00033742002272539845,0.008311210152993265,0.0200801338760364,-0.019501056324084554,1.0,-0.03492082306515466,-0.00013413192381853974,0.007517173718046255,0.0062462088025045555,-0.014310621870564194,-0.005376611692094058,0.034828056461308,-0.0008446822214709974,0.03057603514728548,0.03249649183631618,0.0013060675137762726,0.00019954454880681568,0.0010261502295882037,-0.032158690508905775,-0.0021948690812732545,-0.03285721534800842,,0.005258534725153926,
fresh_eggs_collected,-0.07676228780955242,-0.25050430725113343,-0.10745074014595933,-0.1002437138113183,0.07703672692088874,0.06953552773521957,-0.05339685614305468,0.09373115990106835,0.022353662594616356,0.5573614236294595,-0.057054696123710016,0.006129239686400958,0.007706065513843465,0.10026277442406495,0.6209561966829737,-0.3991181777463504,-0.03492082306515466,1.0,0.0735723769636397,0.9229551233823645,0.8341350080092931,-0.29851007693952175,0.30958289022145424,0.13016603066117216,0.5382765874001624,0.43891097606786716,0.0973413640758389,0.13293104439819423,0.13985164717090529,0.14713090082298458,0.03961328810403261,0.02240174453311236,0.05046631734658361,,0.05608737226192778,
fresh_eggs_stored,-0.026505780905387084,-0.020546997848519665,-0.01827464611507637,-0.015543680469084102,-0.021337527729371083,-0.01373569882075935,-0.042077926966462544,-0.022380909861497652,-0.01011631158858059,0.03741296718323563,-0.004299964593215891,-0.003604125119488347,-0.0035296627538961844,-0.01897540738352351,0.041067164607403624,-0.026436190613573475,-0.00013413192381853974,0.0735723769636397,1.0,-0.04508090209815327,-0.04172538602586617,-0.019840569642191854,-0.0700184950905625,-0.03945369521862624,-0.017091392641182156,-0.04415480637195164,0.04622401958934666,-0.027412918224823044,-0.025502458039851614,-0.027491758288703906,0.0010171718053818659,-0.002825071115251949,-0.00019652538944006038,,0.001718388134251589,
total_eggs_mixed,-0.06338230870132215,-0.25041072621950844,-0.10825257666749265,-0.10458855104564281,0.0955273219675635,0.09170327425449742,-0.08848754413547139,0.10939661116881068,0.03253658369951168,0.4969123833835969,-0.012292055244372468,0.001732495934351131,0.006082234072258168,0.115533771708374,0.62690016604944,-0.40300142908139464,0.007517173718046255,0.9229551233823645,-0.04508090209815327,1.0,0.90123149218575,-0.3015098925826916,0.34390945492043523,0.07227492943589857,0.5884924951107072,0.46763083222387314,0.07679302019575274,0.14982779072131483,0.15663834678102176,0.16535296790055617,0.03744274677291074,0.02634010853745645,0.05317866623780792,,0.0615003807928671,
total_embryos_created,-0.04678854863233772,-0.23232195380673673,-0.09247376210768399,-0.09091098319478987,0.09784759418230131,0.08165955328697856,-0.09148873573957936,0.08565563895496293,0.029631399533825636,0.4545541045275397,-0.008817105638711954,0.006431402720963723,0.012303500557976802,0.13161656502128335,0.5792760116468353,-0.37282555585173055,0.0062462088025045555,0.8341350080092931,-0.04172538602586617,0.90123149218575,1.0,-0.2786612268478333,0.36774651433811034,0.10983394728333484,0.650452365041885,0.4916286338356953,0.08499045360665938,0.17467581649246836,0.18195053256573582,0.19221305713836245,0.035967012534733035,0.033945271284137636,0.052697268068460285,,0.06491779534115043,
